timestamp,consumption_kwh,solar_generation_kwh
2026-05-30 12:00:00,6.94,10.72
2026-05-30 13:00:00,5.02,11.05
2026-05-30 14:00:00,6.36,10.29
2026-05-30 15:00:00,5.53,8.9
2026-05-30 16:00:00,5.22,7.28
2026-05-30 17:00:00,7.41,4.94
2026-05-30 18:00:00,8.25,3.03
2026-05-30 19:00:00,7.5,0
2026-05-30 20:00:00,6.86,0.0
2026-05-30 21:00:00,8.33,0.0
2026-05-30 22:00:00,4.31,0.0
2026-05-30 23:00:00,3.45,0.0
2026-05-31 00:00:00,2.11,0.0
2026-05-31 01:00:00,1.65,0.0
2026-05-31 02:00:00,2.26,0.0
2026-05-31 03:00:00,2.04,0.0
2026-05-31 04:00:00,2.28,0.0
2026-05-31 05:00:00,2.03,0.0
2026-05-31 06:00:00,5.15,0
2026-05-31 07:00:00,6.36,2.55
2026-05-31 08:00:00,6.16,6.27
2026-05-31 09:00:00,4.62,8.21
2026-05-31 10:00:00,6.89,10.8
2026-05-31 11:00:00,5.97,11.43
2026-05-31 12:00:00,6.52,12.14
2026-05-31 13:00:00,5.26,12.84
2026-05-31 14:00:00,6.1,11.82
2026-05-31 15:00:00,6.74,10.19
2026-05-31 16:00:00,5.42,8.32
2026-05-31 17:00:00,7.96,5.93
2026-05-31 18:00:00,7.12,2.73
2026-05-31 19:00:00,7.8,0.5
2026-05-31 20:00:00,7.38,0.0
2026-05-31 21:00:00,7.54,0.0
2026-05-31 22:00:00,3.18,0.0
2026-05-31 23:00:00,3.34,0.0
2026-06-01 00:00:00,2.09,0.0
2026-06-01 01:00:00,1.73,0.0
2026-06-01 02:00:00,1.72,0.0
2026-06-01 03:00:00,1.57,0.0
2026-06-01 04:00:00,2.13,0.0
2026-06-01 05:00:00,1.73,0.0
2026-06-01 06:00:00,6.22,0.41
2026-06-01 07:00:00,4.98,2.24
2026-06-01 08:00:00,4.93,5.35
2026-06-01 09:00:00,6.37,7.02
2026-06-01 10:00:00,5.95,9.24
2026-06-01 11:00:00,6.61,10.7
2026-06-01 12:00:00,5.19,10.75
2026-06-01 13:00:00,5.85,10.99
2026-06-01 14:00:00,6.46,10.38
2026-06-01 15:00:00,6.97,9.34
2026-06-01 16:00:00,5.81,6.99
2026-06-01 17:00:00,8.22,5.02
2026-06-01 18:00:00,6.88,2.41
2026-06-01 19:00:00,7.34,0
2026-06-01 20:00:00,7.06,0.0
2026-06-01 21:00:00,7.0,0.0
2026-06-01 22:00:00,4.38,0.0
2026-06-01 23:00:00,3.66,0.0
2026-06-02 00:00:00,2.05,0.0
2026-06-02 01:00:00,1.55,0.0
2026-06-02 02:00:00,2.5,0.0
2026-06-02 03:00:00,2.34,0.0
2026-06-02 04:00:00,2.47,0.0
2026-06-02 05:00:00,2.43,0.0
2026-06-02 06:00:00,4.83,0.35
2026-06-02 07:00:00,4.93,3.29
2026-06-02 08:00:00,4.62,6.31
2026-06-02 09:00:00,6.47,9.03
2026-06-02 10:00:00,6.57,11.12
2026-06-02 11:00:00,5.85,12.85
2026-06-02 12:00:00,6.99,14.15
2026-06-02 13:00:00,6.44,13.75
2026-06-02 14:00:00,5.59,12.55
2026-06-02 15:00:00,6.16,11.82
2026-06-02 16:00:00,6.5,9.19
2026-06-02 17:00:00,7.67,5.97
2026-06-02 18:00:00,8.21,3.3
2026-06-02 19:00:00,8.42,0
2026-06-02 20:00:00,6.66,0.0
2026-06-02 21:00:00,6.87,0.0
2026-06-02 22:00:00,3.89,0.0
2026-06-02 23:00:00,4.01,0.0
2026-06-03 00:00:00,1.62,0.0
2026-06-03 01:00:00,2.39,0.0
2026-06-03 02:00:00,1.75,0.0
2026-06-03 03:00:00,2.09,0.0
2026-06-03 04:00:00,2.12,0.0
2026-06-03 05:00:00,1.92,0.0
2026-06-03 06:00:00,5.55,0.08
2026-06-03 07:00:00,4.91,2.98
2026-06-03 08:00:00,4.98,5.15
2026-06-03 09:00:00,5.84,6.94
2026-06-03 10:00:00,5.63,8.54
2026-06-03 11:00:00,5.15,10.18
2026-06-03 12:00:00,7.0,10.5
2026-06-03 13:00:00,5.15,11.04
2026-06-03 14:00:00,5.53,9.64
2026-06-03 15:00:00,6.76,9.17
2026-06-03 16:00:00,5.74,7.42
2026-06-03 17:00:00,8.17,4.59
2026-06-03 18:00:00,7.72,2.74
2026-06-03 19:00:00,7.81,0.49
2026-06-03 20:00:00,6.52,0.0
2026-06-03 21:00:00,8.13,0.0
2026-06-03 22:00:00,3.45,0.0
2026-06-03 23:00:00,4.0,0.0
2026-06-04 00:00:00,1.63,0.0
2026-06-04 01:00:00,1.62,0.0
2026-06-04 02:00:00,1.61,0.0
2026-06-04 03:00:00,2.05,0.0
2026-06-04 04:00:00,1.77,0.0
2026-06-04 05:00:00,2.1,0.0
2026-06-04 06:00:00,4.91,0.22
2026-06-04 07:00:00,5.03,3.53
2026-06-04 08:00:00,6.31,6.58
2026-06-04 09:00:00,4.68,9.76
2026-06-04 10:00:00,5.55,11.6
2026-06-04 11:00:00,6.54,12.77
2026-06-04 12:00:00,5.52,14.22
2026-06-04 13:00:00,6.1,14.33
2026-06-04 14:00:00,5.02,13.2
2026-06-04 15:00:00,6.77,11.25
2026-06-04 16:00:00,6.09,9.81
2026-06-04 17:00:00,7.67,6.93
2026-06-04 18:00:00,6.75,3.04
2026-06-04 19:00:00,8.3,0
2026-06-04 20:00:00,8.09,0.0
2026-06-04 21:00:00,8.22,0.0
2026-06-04 22:00:00,4.35,0.0
2026-06-04 23:00:00,3.32,0.0
2026-06-05 00:00:00,1.6,0.0
2026-06-05 01:00:00,2.28,0.0
2026-06-05 02:00:00,2.38,0.0
2026-06-05 03:00:00,1.91,0.0
2026-06-05 04:00:00,2.12,0.0
2026-06-05 05:00:00,1.65,0.0
2026-06-05 06:00:00,6.23,0.43
2026-06-05 07:00:00,6.12,3.03
2026-06-05 08:00:00,4.55,5.35
2026-06-05 09:00:00,5.16,7.33
2026-06-05 10:00:00,6.6,9.23
2026-06-05 11:00:00,6.62,10.36
2026-06-05 12:00:00,6.57,10.38
2026-06-05 13:00:00,6.74,10.22
2026-06-05 14:00:00,5.44,10.36
2026-06-05 15:00:00,5.92,9.12
2026-06-05 16:00:00,6.59,6.89
2026-06-05 17:00:00,6.55,4.7
2026-06-05 18:00:00,7.16,2.25
2026-06-05 19:00:00,8.43,0.36
2026-06-05 20:00:00,7.06,0.0
2026-06-05 21:00:00,7.78,0.0
2026-06-05 22:00:00,3.6,0.0
2026-06-05 23:00:00,4.47,0.0
2026-06-06 00:00:00,2.44,0.0
2026-06-06 01:00:00,1.62,0.0
2026-06-06 02:00:00,2.47,0.0
2026-06-06 03:00:00,1.68,0.0
2026-06-06 04:00:00,2.46,0.0
2026-06-06 05:00:00,1.77,0.0
2026-06-06 06:00:00,5.37,0
2026-06-06 07:00:00,5.13,3.14
2026-06-06 08:00:00,5.52,5.75
2026-06-06 09:00:00,5.65,7.94
2026-06-06 10:00:00,6.42,9.75
2026-06-06 11:00:00,6.85,10.86
2026-06-06 12:00:00,6.44,12.1
2026-06-06 13:00:00,6.34,12.3
2026-06-06 14:00:00,5.14,11.22
2026-06-06 15:00:00,5.66,10.16
2026-06-06 16:00:00,6.7,7.87
2026-06-06 17:00:00,7.1,5.86
2026-06-06 18:00:00,7.32,2.72
2026-06-06 19:00:00,7.09,0
2026-06-06 20:00:00,6.75,0.0
2026-06-06 21:00:00,7.34,0.0
2026-06-06 22:00:00,4.41,0.0
2026-06-06 23:00:00,4.02,0.0
2026-06-07 00:00:00,2.12,0.0
2026-06-07 01:00:00,1.8,0.0
2026-06-07 02:00:00,2.05,0.0
2026-06-07 03:00:00,1.5,0.0
2026-06-07 04:00:00,1.79,0.0
2026-06-07 05:00:00,1.93,0.0
2026-06-07 06:00:00,5.81,0.08
2026-06-07 07:00:00,5.38,3.32
2026-06-07 08:00:00,5.45,6.22
2026-06-07 09:00:00,6.09,9.69
2026-06-07 10:00:00,5.17,11.2
2026-06-07 11:00:00,6.27,13.11
2026-06-07 12:00:00,6.64,13.74
2026-06-07 13:00:00,6.35,14.16
2026-06-07 14:00:00,5.4,12.82
2026-06-07 15:00:00,5.49,11.05
2026-06-07 16:00:00,6.7,9.26
2026-06-07 17:00:00,7.33,6.08
2026-06-07 18:00:00,6.89,3.48
2026-06-07 19:00:00,7.49,0.2
2026-06-07 20:00:00,6.99,0.0
2026-06-07 21:00:00,7.81,0.0
2026-06-07 22:00:00,3.01,0.0
2026-06-07 23:00:00,4.13,0.0
2026-06-08 00:00:00,1.61,0.0
2026-06-08 01:00:00,1.93,0.0
2026-06-08 02:00:00,1.68,0.0
2026-06-08 03:00:00,2.46,0.0
2026-06-08 04:00:00,2.02,0.0
2026-06-08 05:00:00,1.55,0.0
2026-06-08 06:00:00,6.2,0
2026-06-08 07:00:00,6.1,3.15
2026-06-08 08:00:00,6.48,6.36
2026-06-08 09:00:00,6.4,8.94
2026-06-08 10:00:00,6.23,11.36
2026-06-08 11:00:00,6.01,12.69
2026-06-08 12:00:00,6.1,13.57
2026-06-08 13:00:00,6.49,13.63
2026-06-08 14:00:00,5.52,12.44
2026-06-08 15:00:00,6.28,10.72
2026-06-08 16:00:00,6.04,9.11
2026-06-08 17:00:00,7.05,6.32
2026-06-08 18:00:00,7.07,2.77
2026-06-08 19:00:00,7.14,0
2026-06-08 20:00:00,7.58,0.0
2026-06-08 21:00:00,6.78,0.0
2026-06-08 22:00:00,3.35,0.0
2026-06-08 23:00:00,4.04,0.0
2026-06-09 00:00:00,1.56,0.0
2026-06-09 01:00:00,1.91,0.0
2026-06-09 02:00:00,2.04,0.0
2026-06-09 03:00:00,1.92,0.0
2026-06-09 04:00:00,1.71,0.0
2026-06-09 05:00:00,1.92,0.0
2026-06-09 06:00:00,5.67,0.4
2026-06-09 07:00:00,6.21,3.31
2026-06-09 08:00:00,5.26,6.31
2026-06-09 09:00:00,5.2,8.13
2026-06-09 10:00:00,6.71,10.96
2026-06-09 11:00:00,5.84,12.62
2026-06-09 12:00:00,6.09,13.16
2026-06-09 13:00:00,5.44,13.02
2026-06-09 14:00:00,5.87,11.88
2026-06-09 15:00:00,5.67,10.24
2026-06-09 16:00:00,5.81,8.81
2026-06-09 17:00:00,7.43,5.71
2026-06-09 18:00:00,7.74,2.74
2026-06-09 19:00:00,7.29,0
2026-06-09 20:00:00,7.63,0.0
2026-06-09 21:00:00,6.55,0.0
2026-06-09 22:00:00,3.96,0.0
2026-06-09 23:00:00,3.2,0.0
2026-06-10 00:00:00,1.55,0.0
2026-06-10 01:00:00,1.88,0.0
2026-06-10 02:00:00,1.71,0.0
2026-06-10 03:00:00,1.83,0.0
2026-06-10 04:00:00,2.26,0.0
2026-06-10 05:00:00,1.88,0.0
2026-06-10 06:00:00,6.16,0.25
2026-06-10 07:00:00,4.66,2.57
2026-06-10 08:00:00,5.58,4.99
2026-06-10 09:00:00,5.2,8.3
2026-06-10 10:00:00,6.56,9.84
2026-06-10 11:00:00,6.51,11.16
2026-06-10 12:00:00,5.4,12.13
2026-06-10 13:00:00,5.3,11.2
2026-06-10 14:00:00,6.34,10.63
2026-06-10 15:00:00,5.44,9.75
2026-06-10 16:00:00,6.53,8.0
2026-06-10 17:00:00,7.71,5.14
2026-06-10 18:00:00,6.73,3.06
2026-06-10 19:00:00,8.43,0.32
2026-06-10 20:00:00,6.72,0.0
2026-06-10 21:00:00,6.55,0.0
2026-06-10 22:00:00,3.47,0.0
2026-06-10 23:00:00,4.02,0.0
2026-06-11 00:00:00,1.9,0.0
2026-06-11 01:00:00,2.22,0.0
2026-06-11 02:00:00,1.58,0.0
2026-06-11 03:00:00,2.19,0.0
2026-06-11 04:00:00,2.13,0.0
2026-06-11 05:00:00,1.6,0.0
2026-06-11 06:00:00,6.2,0.27
2026-06-11 07:00:00,4.74,3.52
2026-06-11 08:00:00,6.07,7.12
2026-06-11 09:00:00,5.36,9.32
2026-06-11 10:00:00,6.01,11.63
2026-06-11 11:00:00,6.7,13.2
2026-06-11 12:00:00,5.21,14.51
2026-06-11 13:00:00,6.27,14.64
2026-06-11 14:00:00,6.41,13.69
2026-06-11 15:00:00,6.47,11.69
2026-06-11 16:00:00,5.54,9.94
2026-06-11 17:00:00,7.58,6.95
2026-06-11 18:00:00,7.37,3.4
2026-06-11 19:00:00,7.04,0.23
2026-06-11 20:00:00,8.2,0.0
2026-06-11 21:00:00,8.16,0.0
2026-06-11 22:00:00,3.13,0.0
2026-06-11 23:00:00,4.32,0.0
2026-06-12 00:00:00,1.96,0.0
2026-06-12 01:00:00,2.11,0.0
2026-06-12 02:00:00,1.88,0.0
2026-06-12 03:00:00,1.53,0.0
2026-06-12 04:00:00,2.35,0.0
2026-06-12 05:00:00,1.68,0.0
2026-06-12 06:00:00,6.1,0
2026-06-12 07:00:00,6.26,2.39
2026-06-12 08:00:00,5.05,5.16
2026-06-12 09:00:00,6.4,6.58
2026-06-12 10:00:00,6.44,8.36
2026-06-12 11:00:00,6.52,9.96
2026-06-12 12:00:00,6.29,10.78
2026-06-12 13:00:00,6.59,10.58
2026-06-12 14:00:00,5.44,9.56
2026-06-12 15:00:00,5.61,8.97
2026-06-12 16:00:00,5.95,7.15
2026-06-12 17:00:00,7.35,4.99
2026-06-12 18:00:00,7.16,2.8
2026-06-12 19:00:00,7.04,0.2
2026-06-12 20:00:00,7.0,0.0
2026-06-12 21:00:00,6.74,0.0
2026-06-12 22:00:00,3.29,0.0
2026-06-12 23:00:00,3.18,0.0
2026-06-13 00:00:00,2.26,0.0
2026-06-13 01:00:00,1.69,0.0
2026-06-13 02:00:00,1.72,0.0
2026-06-13 03:00:00,1.98,0.0
2026-06-13 04:00:00,2.22,0.0
2026-06-13 05:00:00,2.48,0.0
2026-06-13 06:00:00,5.07,0.02
2026-06-13 07:00:00,4.89,2.51
2026-06-13 08:00:00,4.86,5.37
2026-06-13 09:00:00,5.57,7.57
2026-06-13 10:00:00,6.95,9.77
2026-06-13 11:00:00,6.39,11.41
2026-06-13 12:00:00,6.74,11.68
2026-06-13 13:00:00,6.75,12.05
2026-06-13 14:00:00,5.94,11.43
2026-06-13 15:00:00,5.37,9.94
2026-06-13 16:00:00,6.88,7.6
2026-06-13 17:00:00,8.14,5.62
2026-06-13 18:00:00,6.65,2.81
2026-06-13 19:00:00,6.61,0.13
2026-06-13 20:00:00,6.8,0.0
2026-06-13 21:00:00,7.63,0.0
2026-06-13 22:00:00,3.46,0.0
2026-06-13 23:00:00,4.49,0.0
2026-06-14 00:00:00,2.26,0.0
2026-06-14 01:00:00,2.11,0.0
2026-06-14 02:00:00,2.29,0.0
2026-06-14 03:00:00,1.73,0.0
2026-06-14 04:00:00,2.02,0.0
2026-06-14 05:00:00,1.95,0.0
2026-06-14 06:00:00,6.22,0
2026-06-14 07:00:00,5.11,2.89
2026-06-14 08:00:00,5.72,4.78
2026-06-14 09:00:00,6.4,6.89
2026-06-14 10:00:00,5.42,7.96
2026-06-14 11:00:00,5.31,9.54
2026-06-14 12:00:00,5.15,9.63
2026-06-14 13:00:00,5.9,9.46
2026-06-14 14:00:00,5.58,9.47
2026-06-14 15:00:00,6.41,7.98
2026-06-14 16:00:00,5.91,6.85
2026-06-14 17:00:00,8.35,4.85
2026-06-14 18:00:00,7.75,2.69
2026-06-14 19:00:00,8.37,0.16
2026-06-14 20:00:00,7.35,0.0
2026-06-14 21:00:00,7.59,0.0
2026-06-14 22:00:00,3.97,0.0
2026-06-14 23:00:00,4.36,0.0
2026-06-15 00:00:00,1.57,0.0
2026-06-15 01:00:00,1.67,0.0
2026-06-15 02:00:00,1.81,0.0
2026-06-15 03:00:00,2.25,0.0
2026-06-15 04:00:00,2.07,0.0
2026-06-15 05:00:00,1.79,0.0
2026-06-15 06:00:00,5.88,0
2026-06-15 07:00:00,6.39,3.46
2026-06-15 08:00:00,5.49,6.33
2026-06-15 09:00:00,4.58,8.61
2026-06-15 10:00:00,5.64,11.14
2026-06-15 11:00:00,5.18,12.49
2026-06-15 12:00:00,6.67,13.98
2026-06-15 13:00:00,6.9,13.6
2026-06-15 14:00:00,6.34,13.23
2026-06-15 15:00:00,5.08,10.98
2026-06-15 16:00:00,5.94,9.29
2026-06-15 17:00:00,8.33,6.48
2026-06-15 18:00:00,7.67,2.94
2026-06-15 19:00:00,7.48,0.13
2026-06-15 20:00:00,6.68,0.0
2026-06-15 21:00:00,7.2,0.0
2026-06-15 22:00:00,3.5,0.0
2026-06-15 23:00:00,4.01,0.0
2026-06-16 00:00:00,1.83,0.0
2026-06-16 01:00:00,2.19,0.0
2026-06-16 02:00:00,1.79,0.0
2026-06-16 03:00:00,2.45,0.0
2026-06-16 04:00:00,2.31,0.0
2026-06-16 05:00:00,2.05,0.0
2026-06-16 06:00:00,5.13,0
2026-06-16 07:00:00,6.44,3.12
2026-06-16 08:00:00,5.53,6.31
2026-06-16 09:00:00,5.82,9.62
2026-06-16 10:00:00,5.83,11.38
2026-06-16 11:00:00,5.72,12.57
2026-06-16 12:00:00,6.25,13.93
2026-06-16 13:00:00,5.41,13.94
2026-06-16 14:00:00,6.86,12.93
2026-06-16 15:00:00,6.4,11.28
2026-06-16 16:00:00,6.95,8.76
2026-06-16 17:00:00,6.98,6.51
2026-06-16 18:00:00,7.6,2.96
2026-06-16 19:00:00,6.69,0.05
2026-06-16 20:00:00,8.48,0.0
2026-06-16 21:00:00,8.33,0.0
2026-06-16 22:00:00,3.69,0.0
2026-06-16 23:00:00,3.18,0.0
2026-06-17 00:00:00,2.0,0.0
2026-06-17 01:00:00,2.22,0.0
2026-06-17 02:00:00,2.01,0.0
2026-06-17 03:00:00,1.77,0.0
2026-06-17 04:00:00,2.33,0.0
2026-06-17 05:00:00,2.48,0.0
2026-06-17 06:00:00,5.6,0
2026-06-17 07:00:00,6.34,3.15
2026-06-17 08:00:00,6.26,6.35
2026-06-17 09:00:00,5.05,9.41
2026-06-17 10:00:00,5.83,11.52
2026-06-17 11:00:00,6.02,13.2
2026-06-17 12:00:00,5.57,13.87
2026-06-17 13:00:00,6.17,13.35
2026-06-17 14:00:00,5.98,13.26
2026-06-17 15:00:00,6.08,10.88
2026-06-17 16:00:00,6.1,8.9
2026-06-17 17:00:00,7.41,6.39
2026-06-17 18:00:00,6.88,3.09
2026-06-17 19:00:00,7.64,0.2
2026-06-17 20:00:00,6.97,0.0
2026-06-17 21:00:00,8.05,0.0
2026-06-17 22:00:00,3.07,0.0
2026-06-17 23:00:00,4.12,0.0
2026-06-18 00:00:00,2.31,0.0
2026-06-18 01:00:00,1.89,0.0
2026-06-18 02:00:00,2.16,0.0
2026-06-18 03:00:00,2.32,0.0
2026-06-18 04:00:00,2.48,0.0
2026-06-18 05:00:00,2.0,0.0
2026-06-18 06:00:00,5.5,0
2026-06-18 07:00:00,6.24,3.2
2026-06-18 08:00:00,5.38,6.42
2026-06-18 09:00:00,5.41,8.65
2026-06-18 10:00:00,5.82,10.92
2026-06-18 11:00:00,5.31,12.31
2026-06-18 12:00:00,6.94,12.88
2026-06-18 13:00:00,6.39,12.75
2026-06-18 14:00:00,6.7,12.31
2026-06-18 15:00:00,6.72,11.05
2026-06-18 16:00:00,5.63,8.5
2026-06-18 17:00:00,8.02,6.26
2026-06-18 18:00:00,6.57,3.48
2026-06-18 19:00:00,7.76,0
2026-06-18 20:00:00,8.34,0.0
2026-06-18 21:00:00,8.49,0.0
2026-06-18 22:00:00,4.12,0.0
2026-06-18 23:00:00,3.65,0.0
2026-06-19 00:00:00,2.13,0.0
2026-06-19 01:00:00,2.37,0.0
2026-06-19 02:00:00,1.94,0.0
2026-06-19 03:00:00,2.19,0.0
2026-06-19 04:00:00,2.4,0.0
2026-06-19 05:00:00,1.55,0.0
2026-06-19 06:00:00,5.09,0.3
2026-06-19 07:00:00,4.79,2.25
2026-06-19 08:00:00,5.63,4.64
2026-06-19 09:00:00,4.84,6.87
2026-06-19 10:00:00,6.74,7.75
2026-06-19 11:00:00,5.48,9.4
2026-06-19 12:00:00,5.29,10.27
2026-06-19 13:00:00,5.51,9.81
2026-06-19 14:00:00,5.02,9.03
2026-06-19 15:00:00,6.8,8.47
2026-06-19 16:00:00,5.32,6.76
2026-06-19 17:00:00,7.19,4.55
2026-06-19 18:00:00,7.78,2.46
2026-06-19 19:00:00,7.0,0
2026-06-19 20:00:00,8.19,0.0
2026-06-19 21:00:00,6.9,0.0
2026-06-19 22:00:00,3.58,0.0
2026-06-19 23:00:00,3.72,0.0
2026-06-20 00:00:00,2.07,0.0
2026-06-20 01:00:00,2.07,0.0
2026-06-20 02:00:00,2.49,0.0
2026-06-20 03:00:00,1.8,0.0
2026-06-20 04:00:00,2.48,0.0
2026-06-20 05:00:00,2.16,0.0
2026-06-20 06:00:00,5.63,0
2026-06-20 07:00:00,5.99,2.73
2026-06-20 08:00:00,5.71,4.49
2026-06-20 09:00:00,6.31,7.04
2026-06-20 10:00:00,6.6,8.53
2026-06-20 11:00:00,5.7,10.05
2026-06-20 12:00:00,6.24,10.69
2026-06-20 13:00:00,6.44,10.73
2026-06-20 14:00:00,6.68,10.1
2026-06-20 15:00:00,6.81,8.88
2026-06-20 16:00:00,5.62,7.19
2026-06-20 17:00:00,7.66,4.88
2026-06-20 18:00:00,6.68,2.78
2026-06-20 19:00:00,7.99,0
2026-06-20 20:00:00,6.85,0.0
2026-06-20 21:00:00,6.76,0.0
2026-06-20 22:00:00,3.81,0.0
2026-06-20 23:00:00,4.46,0.0
2026-06-21 00:00:00,2.41,0.0
2026-06-21 01:00:00,2.33,0.0
2026-06-21 02:00:00,1.76,0.0
2026-06-21 03:00:00,2.32,0.0
2026-06-21 04:00:00,1.98,0.0
2026-06-21 05:00:00,2.31,0.0
2026-06-21 06:00:00,5.18,0.25
2026-06-21 07:00:00,6.43,2.52
2026-06-21 08:00:00,6.43,5.27
2026-06-21 09:00:00,5.95,8.4
2026-06-21 10:00:00,6.93,10.45
2026-06-21 11:00:00,5.73,11.64
2026-06-21 12:00:00,5.03,12.32
2026-06-21 13:00:00,5.91,12.07
2026-06-21 14:00:00,6.34,11.5
2026-06-21 15:00:00,6.64,10.06
2026-06-21 16:00:00,5.22,8.48
2026-06-21 17:00:00,6.55,5.37
2026-06-21 18:00:00,7.62,3.28
2026-06-21 19:00:00,6.94,0.42
2026-06-21 20:00:00,6.63,0.0
2026-06-21 21:00:00,8.15,0.0
2026-06-21 22:00:00,4.36,0.0
2026-06-21 23:00:00,3.45,0.0
2026-06-22 00:00:00,1.64,0.0
2026-06-22 01:00:00,2.45,0.0
2026-06-22 02:00:00,1.8,0.0
2026-06-22 03:00:00,1.99,0.0
2026-06-22 04:00:00,1.6,0.0
2026-06-22 05:00:00,2.39,0.0
2026-06-22 06:00:00,5.41,0
2026-06-22 07:00:00,5.99,2.92
2026-06-22 08:00:00,5.34,5.79
2026-06-22 09:00:00,4.81,7.87
2026-06-22 10:00:00,5.2,9.38
2026-06-22 11:00:00,5.82,10.74
2026-06-22 12:00:00,5.07,11.86
2026-06-22 13:00:00,5.89,11.28
2026-06-22 14:00:00,6.71,11.2
2026-06-22 15:00:00,6.37,9.06
2026-06-22 16:00:00,6.96,7.67
2026-06-22 17:00:00,7.3,5.2
2026-06-22 18:00:00,6.74,2.44
2026-06-22 19:00:00,7.41,0.35
2026-06-22 20:00:00,7.83,0.0
2026-06-22 21:00:00,7.78,0.0
2026-06-22 22:00:00,3.9,0.0
2026-06-22 23:00:00,3.03,0.0
2026-06-23 00:00:00,1.74,0.0
2026-06-23 01:00:00,1.63,0.0
2026-06-23 02:00:00,2.06,0.0
2026-06-23 03:00:00,1.57,0.0
2026-06-23 04:00:00,2.27,0.0
2026-06-23 05:00:00,1.71,0.0
2026-06-23 06:00:00,6.24,0
2026-06-23 07:00:00,4.8,3.04
2026-06-23 08:00:00,4.51,6.64
2026-06-23 09:00:00,4.79,9.26
2026-06-23 10:00:00,5.5,10.67
2026-06-23 11:00:00,6.32,12.22
2026-06-23 12:00:00,5.03,12.85
2026-06-23 13:00:00,5.48,13.61
2026-06-23 14:00:00,5.35,12.37
2026-06-23 15:00:00,6.48,10.6
2026-06-23 16:00:00,6.49,8.92
2026-06-23 17:00:00,8.06,6.21
2026-06-23 18:00:00,6.72,3.22
2026-06-23 19:00:00,8.39,0.0
2026-06-23 20:00:00,6.59,0.0
2026-06-23 21:00:00,8.07,0.0
2026-06-23 22:00:00,4.3,0.0
2026-06-23 23:00:00,3.78,0.0
2026-06-24 00:00:00,2.46,0.0
2026-06-24 01:00:00,1.56,0.0
2026-06-24 02:00:00,1.98,0.0
2026-06-24 03:00:00,1.9,0.0
2026-06-24 04:00:00,2.19,0.0
2026-06-24 05:00:00,1.99,0.0
2026-06-24 06:00:00,4.65,0.41
2026-06-24 07:00:00,5.72,2.39
2026-06-24 08:00:00,5.05,5.03
2026-06-24 09:00:00,5.6,7.92
2026-06-24 10:00:00,6.99,9.49
2026-06-24 11:00:00,5.91,11.02
2026-06-24 12:00:00,5.2,11.77
2026-06-24 13:00:00,6.71,11.87
2026-06-24 14:00:00,6.54,11.14
2026-06-24 15:00:00,5.43,9.89
2026-06-24 16:00:00,5.46,7.74
2026-06-24 17:00:00,7.41,5.3
